Gold_USD,USDINR,Gold_INR,24K_per_gram,24K_8_gram,22K_per_gram,22K_8_gram
1117.699951171875,46.28799819946289,51736.09332738351,1663.3527843292077,13306.822274633661,1524.7400523017736,13306.822274633661
1118.0999755859375,46.119998931884766,51566.76967976382,1657.908906707085,13263.27125365668,1519.749831148161,13263.27125365668
1135.9000244140625,45.720001220703125,51933.35050280765,1669.6947450546609,13357.557960437287,1530.5535163001057,13357.557960437287
1133.0999755859375,45.6879997253418,51769.07137335511,1664.413052336718,13315.304418693744,1525.7119646419915,13315.304418693744
1138.199951171875,45.518001556396484,51808.58714893181,1665.683513075114,13325.468104600912,1526.8765536521878,13325.468104600912
1150.699951171875,45.358001708984375,52193.45035178214,1678.057143144088,13424.457145152704,1538.2190478820808,13424.457145152704
1128.9000244140625,45.61800003051758,51498.161348172,1655.7030992708858,13245.624794167086,1517.7278409983119,13245.624794167086
1136.4000244140625,45.487998962402344,51692.56313142087,1661.9532570746337,13295.62605659707,1523.4571523184143,13295.62605659707
1142.5999755859375,45.5629997253418,52060.282373797614,1673.7756964263704,13390.205571410963,1534.2943883908395,13390.205571410963
1130.0999755859375,45.803001403808594,51761.97076820675,1664.1847627503898,13313.478102003119,1525.5026991878574,13313.478102003119
1139.699951171875,45.847999572753906,52252.96287439577,1679.9705137491205,13439.764109992964,1539.9729709366939,13439.764109992964
1112.300048828125,46.11800003051758,51297.05368580017,1649.2373426077506,13193.898740862005,1511.800897390438,13193.898740862005
1102.699951171875,46.108001708984375,50843.2912331298,1634.6485518713264,13077.188414970611,1498.4278392153824,13077.188414970611
1089.199951171875,46.222999572753906,50346.088877661154,1618.6631368708072,12949.305094966458,1483.7745421315733,12949.305094966458
1095.199951171875,46.077999114990234,50464.622380835004,1622.4740746486732,12979.792597189386,1487.2679017612836,12979.792597189386
1097.9000244140625,45.847999572753906,50336.51985026244,1618.3554857254792,12946.843885803833,1483.4925285816892,12946.843885803833
1084.4000244140625,46.31800079345703,50227.24119123537,1614.8420978743668,12918.736782994934,1480.2719230515029,12918.736782994934
1083.5999755859375,46.347999572753906,50222.691205493174,1614.6958125449926,12917.56650035994,1480.137828166243,12917.56650035994
1083.0,46.097999572753906,49924.13353729248,1605.0969677783041,12840.775742226433,1471.338887130112,12840.775742226433
1104.300048828125,46.28799819946289,51115.83867182303,1643.4111489646834,13147.289191717467,1506.460219884293,13147.289191717467
1117.4000244140625,46.099998474121094,51512.139420471154,1656.152504395684,13249.220035165472,1518.1397956960436,13249.220035165472
1111.4000244140625,45.900001525878906,51013.26281646732,1640.1132610949676,13120.90608875974,1503.4371560037202,13120.90608875974
1062.4000244140625,46.209999084472656,49093.504155517556,1578.39163295184,12627.13306361472,1446.8589968725198,12627.13306361472
1052.199951171875,46.619998931884766,49053.560599762015,1577.1074187715856,12616.859350172685,1445.68180054062,12616.859350172685
1065.699951171875,46.709999084472656,49778.843743560836,1600.4257959252443,12803.406367401954,1467.0569795981405,12803.406367401954
1076.699951171875,46.38999938964844,49948.110077697784,1605.8678308774827,12846.942647019861,1472.0455116376925,12846.942647019861
1075.800048828125,46.37799835205078,49893.45289168693,1604.110562852635,12832.88450282108,1470.4346826149153,12832.88450282108
1094.199951171875,46.400001525878906,50770.879403991625,1632.320459240652,13058.563673925217,1496.293754303931,13058.563673925217
1089.5,46.400001525878906,50552.80166244507,1625.3091022696824,13002.47281815746,1489.866677080542,13002.47281815746
1119.300048828125,45.97999954223633,51465.41573274229,1654.6503040732487,13237.20243258599,1516.7627787338113,13237.20243258599
1119.5,46.007999420166016,51505.955350875854,1655.9536820896637,13247.62945671731,1517.957541915525,13247.62945671731
1118.0,46.13999938964844,51584.51931762695,1658.479570390051,13267.836563120409,1520.2729395242134,13267.836563120409
1121.300048828125,46.18000030517578,51781.63659707643,1664.817033358832,13318.536266870657,1526.0822805789294,13318.536266870657
1112.5999755859375,46.099998474121094,51290.857176818885,1649.0381203664824,13192.30496293186,1511.618277002609,13192.30496293186
1102.699951171875,46.268001556396484,51019.72305705864,1640.3209624980675,13122.56769998454,1503.627548956562,13122.56769998454
1096.5,46.28799819946289,50754.79002571106,1631.8031741029486,13054.425392823588,1495.8195762610362,13054.425392823588
1107.800048828125,46.29999923706055,51291.141415557824,1649.0472588473267,13192.378070778614,1511.6266539433827,13192.378070778614
1118.300048828125,45.900001525878906,51329.97394760139,1650.2957528124293,13202.366022499435,1512.771106744727,13202.366022499435
1117.800048828125,46.0,51418.80224609375,1653.1516467951758,13225.213174361406,1515.3890095622444,13225.213174361406
1136.9000244140625,46.02799987792969,52329.23418494873,1682.422691496093,13459.381531968744,1542.220800538085,13459.381531968744
1142.699951171875,45.54999923706055,52049.98190406803,1673.4445288815737,13387.55623105259,1533.9908181414426,13387.55623105259
1132.5999755859375,45.66999816894531,51725.83881115727,1663.0230942227488,13304.18475378199,1524.437836370853,13304.18475378199
1134.800048828125,45.45000076293945,51576.66308502201,1658.2269868349867,13265.815894679894,1520.0414045987377,13265.815894679894
1123.5999755859375,45.400001525878906,51011.440606079064,1640.0546757142786,13120.437405714229,1503.3834527380886,13120.437405714229
1122.0,45.54999923706055,51107.09914398193,1643.1301668295187,13145.04133463615,1506.2026529270588,13145.04133463615
1107.800048828125,45.310001373291016,50194.4217337342,1613.7869286007747,12910.295428806197,1479.3046845507101,12910.295428806197
1108.0,45.45000076293945,50358.600845336914,1619.0654056725743,12952.523245380595,1484.143288533193,12952.523245380595
1101.5,45.49800109863281,50116.04821014404,1611.2671631856235,12890.137305484988,1476.9948995868215,12890.137305484988
1105.0999755859375,45.55799865722656,50346.14320384525,1618.6648834968812,12949.31906797505,1483.7761432054745,12949.31906797505
1122.199951171875,45.38999938964844,50936.65509875491,1637.650267614735,13101.20214091788,1501.1794119801737,13101.20214091788
1124.0,45.279998779296875,50894.71862792969,1636.3019797749348,13090.415838199478,1499.943481460357,13090.415838199478
